Nombre Oferta;Plazo hasta;Link;Nuevo;Palabra Clave
Analista de Procesos y Riesgos - Subdepto. de Procesos y Riesgos;16/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=120840&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniero comercial
Jefatura Departamento de Gestión de Reportes Gr. 4;17/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122216&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniero comercial
Auditor o Auditora de Control del Gasto Electoral;17/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122189&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniero comercial
SLEP Santa Corina busca un(a) Encargado(a) de Planificación Estratégica, Estudios y Género;18/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122588&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniero(a) comercial
Gestor (a) de Soporte Regional - Dirección Regional - Región de Arica y Parinacota - PRS 05.12.2024;12/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=121521&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniero(a) comercial
Analista Unidad de Planificación y Gestión de la Oferta Regional - Dirección Regional - Región de Atacama - PRS 05.12.2024;12/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=121510&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniero(a) comercial
Reemplazo Pre-Post Natal: Supervisor (a) Técnico (a) Regional - Dirección Regional - Región de O'higgins - PRS 05.12.2024;12/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=121522&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniero(a) comercial
Analista Económico - Estadístico - Dirección Regional de Los Ríos;13/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=120841&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
Encargada(o) de Sección Contabilidad – Servicio de Biodiversidad y Áreas Protegidas - 121748;13/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=121748&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
Encargado(a) de Planificación y Control de Gestión, Región de Atacama;19/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122369&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
Director Regional de Aysén - Cód. 2524;22/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122571&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
Subdirector(a) Administrativo(a) Centro de Salud, Centro de Salud y Rehabilitación La Florida, CAPREDENA.-;13/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=121781&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
Gestor(a) Sección Adquisiciones P.M;20/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122364&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
Encargado(a) de Gestión de Personas;12/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122165&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
Proceso de selección para proveer un cargo de Encargadoa de la Sección de Administración, para prestar servicios en el Departamento de Administración y Finanzas, de SERVIU Región Antofagasta, estament;18/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122569&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
Profesional del Departamento de Datos, Información y Reportes;13/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122348&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
Encargada (o) de Sección Gestión de Personas - Servicio de Biodiversidad y Áreas Protegidas - 121744;13/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=121744&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;ingeniería comercial
